Parameter,Value,Score
Promoter Holding,50.0%,100
Inst. Holding,15.0%,60.0
D/E Ratio,0.344,82.8
RoE,15.00%,75.0
Profit Growth YoY,10.0%,50.0
Profit CAGR 5Y,12.0%,60.0
Dividend Yield,1.00%,50.0
Economic Moat,None (Overridden by user to None),0
Valuation Score,"PE=20.00, PB=2.00",65.0
SymbolTrendRS,RSI=58.49,27.12209409726531
NIFTY200DMARSIVolume,Composite,70
200-Day DMA,Above,100
14-Day RSI,58.49,50
20-Day Volume MA,Below,25
Simple RS vs Benchmark,44.53,44.532590172419944
Final Rating,,67.82
Recommendation,Add,
Recommendation Reasons,Moderate final rating (60-79); RSI in neutral range; Negative MACD (Bearish signal),
