Parameter,Value,Score
Promoter Holding,85.0%,100
Inst. Holding,10.0%,40.0
D/E Ratio,0.496,75.2
RoE,15.00%,75.0
Profit Growth YoY,30.0%,100
Profit CAGR 5Y,25.0%,100
Dividend Yield,1.00%,50.0
Economic Moat,None (Overridden by user to None),0
Valuation Score,"PE=20.00, PB=2.00",65.0
SymbolTrendRS,RSI=60.89,40.223157413800344
NIFTY200DMARSIVolume,Composite,85
200-Day DMA,Above,100
14-Day RSI,60.89,50
20-Day Volume MA,Below,25
Simple RS vs Benchmark,74.01,74.01316453178411
Final Rating,,72.36
Recommendation,Add,
Recommendation Reasons,Moderate final rating (60-79); Strong relative strength (RS > 70); Positive MACD (Bullish signal),
