Parameter,Value,Score
Promoter Holding,50.0%,100
Inst. Holding,15.0%,60.0
D/E Ratio,53.101,0
RoE,15.00%,75.0
Profit Growth YoY,10.0%,50.0
Profit CAGR 5Y,12.0%,60.0
Dividend Yield,1.00%,50.0
Economic Moat,None (Overridden by user to None),0
Valuation Score,"PE=20.00, PB=2.00",65.0
SymbolTrendRS,RSI=75.97,43.99271276155537
NIFTY200DMARSIVolume,Composite,85
200-Day DMA,Above,100
14-Day RSI,75.97,75
20-Day Volume MA,Above,75
Simple RS vs Benchmark,101.67,100
Final Rating,,68.28
Recommendation,Add,
Recommendation Reasons,"Moderate rating (60-79); Strong RS > 70; Overbought (RSI > 70); 
Positive MACD (Bullish signal)",
